,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
29,96559,Sintang (Indonesia),0.06,111.47,30,96559,0.06,111.47,20191119060000,1008.2,-0.33,7.0,1008.0,,0.0,31.7,24.4,8000.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,96565,Putusibau (Indonesia),0.83,112.93,34,96565,0.83,112.93,20191119060000,1009.0,-0.38,7.0,1009.0,300.0,1.5,32.9,23.2,10000.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,96581,Pontianak / Supadio (Indonesia),-0.14,109.4,3,96581,-0.14,109.4,20191119060000,1008.4,-0.29,7.0,1008.0,40.0,3.1,32.5,24.0,10000.0,2.0,4.0,2.0,7.0,5.0,4.0,1.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,96595,Muaratewe / Beringin (Indonesia),-0.94,114.89,60,96595,-0.94,114.89,20191119060000,1007.3,-0.34,7.0,1007.0,220.0,2.1,33.2,23.6,11000.0,2.0,1.0,1.0,6.0,5.0,4.0,5.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,96607,Samarinda / Temindung (Indonesia),-0.48,117.15,230,96607,-0.48,117.15,20191119060000,1008.0,-0.3,7.0,1008.0,130.0,3.6,30.8,24.5,10000.0,2.0,6.0,2.0,7.0,4.0,4.0,2.0,2.0,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,96615,Ketapang / Rahadi Usmaman (Indonesia),-1.81,109.96,9,96615,-1.81,109.96,20191119060000,1009.5,-0.23,8.0,1009.0,310.0,3.6,31.0,24.5,10000.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,96633,Balikpapan / Sepinggan (Indonesia),-1.26,116.89,3,96633,-1.26,116.89,20191119060000,1007.0,-0.31,7.0,1007.0,180.0,1.5,31.4,25.9,10000.0,1.0,9.0,2.0,5.0,1.0,5.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,96645,Pangkalan Bun/Iskandar (Indonesia),-2.7,111.66,25,96645,-2.7,111.66,20191119060000,1008.3,-0.26,7.0,1008.0,190.0,1.5,30.3,24.1,8000.0,14.0,2.0,2.0,7.0,6.0,4.0,3.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,96655,Palangka Raya/Tjilik Riwut (Indonesia),-2.22,113.94,27,96655,-2.22,113.94,20191119060000,1009.8,-0.28,7.0,1009.0,310.0,2.6,29.4,24.5,8000.0,2.0,1.0,1.0,6.0,6.0,4.0,9.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,96685,Banjarmasin / Syamsuddin Noor (Indonesia),-3.43,114.75,20,96685,-3.43,114.75,20191119060000,1007.8,-0.26,7.0,1007.0,230.0,1.5,31.6,25.1,7000.0,2.0,1.0,1.0,7.0,4.0,4.0,8.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,96695,Kotabaru (Indonesia),-3.29,116.16,18,96695,-3.29,116.16,20191119060000,1008.3,-0.16,6.0,1008.0,240.0,2.6,28.6,23.9,7000.0,17.0,9.0,6.0,7.0,4.0,4.0,9.0,2.0,1.0,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,96737,Serang (Indonesia),-6.11,106.13,40,96737,-6.11,106.13,20191119060000,1007.6,-0.21,6.0,1007.0,20.0,4.6,34.4,22.6,5000.0,5.0,2.0,2.0,6.0,4.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,96739,Curug / Budiarto (Indonesia),-6.29,106.56,46,96739,-6.29,106.56,20191119060000,1008.8,-0.24,7.0,1008.0,50.0,3.1,34.7,22.0,10000.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,96741,Jakarta / Tanjung Priok (Indonesia),-6.09,106.86,2,96741,-6.09,106.86,20191119060000,1008.9,-0.18,7.0,1008.0,70.0,3.6,32.3,24.3,10000.0,2.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
43,96745,Jakarta / Observatory (Indonesia),-6.18,106.83,8,96745,-6.18,106.83,20191119060000,1008.2,-0.16,6.0,1008.0,120.0,2.6,33.0,22.5,7000.0,2.0,1.0,1.0,5.0,1.0,,5.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,96749,Jakarta / Soekarno-Hatta (Indonesia),-6.12,106.65,8,96749,-6.12,106.65,20191119060000,1008.9,-0.19,7.0,1008.0,50.0,4.6,33.8,22.0,10000.0,2.0,1.0,1.0,4.0,2.0,5.0,4.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
45,96781,Bandung / Husein (Indonesia),-6.9,107.57,740,96781,-6.9,107.57,20191119060000,1013.4,-0.25,7.0,1013.0,300.0,3.6,28.6,18.5,10000.0,2.0,1.0,1.0,6.0,3.0,4.0,8.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,96791,Jatiwangi (Indonesia),-6.75,108.26,50,96791,-6.75,108.26,20191119060000,1007.9,-0.27,7.0,1007.0,110.0,3.1,37.2,20.8,10000.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,96797,Tegal (Indonesia),-6.86,109.12,10,96797,-6.86,109.12,20191119060000,1008.3,-0.23,7.0,1008.0,10.0,4.6,32.8,23.5,12000.0,2.0,1.0,1.0,4.0,1.0,5.0,5.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,96805,Cilacap (Indonesia),-7.64,109.05,6,96805,-7.64,109.05,20191119060000,1009.2,-0.24,7.0,1009.0,130.0,3.1,31.0,24.9,10000.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,96837,Semarang (Indonesia),-6.96,110.41,3,96837,-6.96,110.41,20191119060000,1007.8,-0.26,7.0,1007.0,10.0,3.1,34.2,24.0,9000.0,5.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,96839,Semarang / Ahmadyani (Indonesia),-6.97,110.37,3,96839,-6.97,110.37,20191119060000,1007.9,-0.26,7.0,1007.0,340.0,5.7,33.6,23.9,8000.0,2.0,1.0,1.0,6.0,3.0,4.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,96925,Sangkapura Bawean Island  (Indonesia),-5.85,112.65,3,96925,-5.85,112.65,20191119060000,1008.5,-0.22,7.0,1008.0,110.0,3.1,32.4,24.7,10000.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,96933,Surabaya / Perak (Indonesia),-7.21,112.71,3,96933,-7.21,112.71,20191119060000,1007.6,-0.28,6.0,1007.0,320.0,5.1,35.9,25.7,11000.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
53,96935,Surabaya / Juanda (Indonesia),-7.37,112.79,3,96935,-7.37,112.79,20191119060000,1007.5,-0.28,7.0,1007.0,70.0,3.6,33.9,23.3,10000.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,96937,Surabaya/Perak Ii (Indonesia),-7.21,112.71,3,96937,-7.21,112.71,20191119060000,1007.8,-0.28,6.0,1007.0,100.0,2.1,35.1,25.6,11000.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,96973,Kalianget Madura Island  (Indonesia),-7.05,113.96,3,96973,-7.05,113.96,20191119060000,1008.1,-0.26,7.0,1008.0,160.0,3.6,33.0,25.0,12000.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,96987,Banyuwangi (Indonesia),-8.21,114.38,5,96987,-8.21,114.38,20191119060000,1007.6,-0.22,6.0,1007.0,130.0,4.6,32.4,24.3,10000.0,2.0,1.0,1.0,5.0,3.0,4.0,9.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,97008,Tahuna (Indonesia),3.68,125.52,38,97008,3.68,125.52,20191119060000,1006.9,-0.2,7.0,1006.0,90.0,2.1,31.2,23.7,9000.0,3.0,6.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,97014,Menado / Dr. Sam Ratulangi (Indonesia),1.54,124.92,80,97014,1.54,124.92,20191119060000,1007.4,-0.16,7.0,1007.0,340.0,1.0,29.6,23.1,10000.0,2.0,1.0,1.0,6.0,4.0,5.0,8.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
